Serial Number,Topic,Question,Answer
322,Percentage,"If 17% of a number is 1832, what is the number?",10776.470588235294
323,Average,"If the average of 40, 44, and 14 is 32.666666666666664, and one number is replaced by 22, find the new average.",26.67
324,Algebra,Calculate x: 7x + -6 = 0.,1.2857142857142858
325,Average,"Determine the mean of the following set of numbers [44, 26, 93, 67, 73] after increasing each by 7.",67.6
326,Numbers,What is the next integer after 70?,Yes
327,Numbers,Is the number 92 both prime and an integer?,No
328,Numbers,Is 81 a prime number?,No
329,Algebra,Solve the linear equation 5x + 10 = 4.,-1.2
330,Numbers,What is the next integer after 93?,Yes
331,Algebra,Solve for x in the equation 10x + -8 = 4 when 10 ≠ 0.,0.8
332,Profit and Loss,"The cost price of a product is 560, and it is sold at 410. Find the profit or loss percentage.",-26.79%
333,Profit and Loss,"Calculate the marked price if a discount of 42% leads to a selling price of 946.5600000000002, given the cost price is 465.",Profit of 481.56
334,Profit and Loss,"If a product is sold at a loss of 18%, what was its cost price if the selling price is 530?",Loss of 332
335,Profit and Loss,A product is bought for 354 and sold at a profit of 9%. Find the selling price.,Profit of -186
336,Time Speed Distance,"Calculate the distance covered if a car travels at 83 km/h for 8 hours, then stops for 3 hours, and continues at 51 km/h.",664
337,Ratio and Proportion,"In a ratio of 49:88, find the value of b if a = 76.",136.48979591836735
338,Average,"If the average of 23, 84, and 89 is 65.33333333333333, what is the total sum?",196.0
339,Profit and Loss,What is the profit if the selling price is 827 and the cost price is 321?,Profit of 506
340,Profit and Loss,A product is bought at 767 and sold at a profit of 107.38. What is the selling price?,Profit of -204
341,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 32 hours, but Pipe B empties it in 50 hours and both operate for 18 hours.",1.06
342,Profit and Loss,What is the profit if the selling price is 155 and the cost price is 377?,Profit of -222
343,Percentage,Find the percentage value of 165 when it is increased by 45%.,239.25
344,Time Speed Distance,A car drives for 3 hours at 61 km/h. Calculate the distance traveled.,183
345,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 22 hours, and Pipe B in 15 hours, but Pipe C empties it in 44 hours, and all three are used for 9 hours.",1.01
346,Numbers,"If 24 and 8 are integers, is their sum a natural number?",Yes
347,Profit and Loss,"If a discount of 16% is given on 1124, and the selling price is 858, find the profit/loss.",Loss of 273
348,Time and Work,Determine the time taken if 9 work twice as fast as 3 to complete the job in 25 days.,8.33
349,Algebra,Solve the quadratic equation 4x² + 5x + 8 = 0.,No real roots
350,Average,"Calculate the average of the reciprocals of the numbers: [2, 6, 9, 2].",3.13
351,Profit and Loss,"If a product is sold at a loss of 43%, what was its cost price if the selling price is 422?",Loss of 475
352,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 13 hours, but Pipe B empties it in 10 hours and both operate for 16 hours.",1.59
353,Numbers,Is the number 57 both prime and an integer?,No
354,Time and Work,"Determine the time taken if 14 start the work, but 3 complete it in 40 days.",40
355,Pipes and Cisterns,"If Pipe A fills a tank in 37 hours, and Pipe B can fill 0.54 of it in 28 hours, how long will it take both pipes to fill the tank?",32.23
356,Algebra,Solve for x: 1x = -4.,4.0
357,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 34 hours, but Pipe B empties it in 48 hours, and both are used simultaneously?",16.75
358,Algebra,Solve for x in the equation 3x + -2 = 3.,0.6666666666666666
359,Time Speed Distance,"Calculate the distance covered if a car travels at 88 km/h for 10 hours, then stops for 4 hours, and continues at 49 km/h.",880
360,Pipes and Cisterns,"Pipe A can fill a tank in 47 hours, and Pipe B in 39 hours, but Pipe C can empty it in 30 hours. Find the time taken to fill the tank if all three pipes are used.",73.61
361,Numbers,Is 57 a composite number?,Yes
362,Algebra,Find the solution to the equation 6x² + 8x + 3 = 0.,No real roots
363,Average,"What is the average of the square of these numbers: [2, 5, 5, 4, 2]?",14.8
364,Ratio and Proportion,Determine the original values of a and b if their ratio is 5:6 and their sum is 11.,5:6
365,Time Speed Distance,A car is moving at a speed of 42 km/h for 10 hours. How far does it travel?,420
366,Percentage,Find the percentage value of 288 when it is increased by 13%.,325.44
367,Numbers,Determine if 52 is a prime or composite number.,No
368,Pipes and Cisterns,"Calculate the time required to fill a tank if Pipe A fills it in 47 hours, Pipe B fills it in 41 hours, and Pipe C empties it in 26 hours.",21.9
369,Average,"Determine the mean of the following set of numbers [90, 13, 12, 44, 73] after increasing each by 6.",52.4
370,Average,"Find the average of the following numbers: [98, 17, 18, 72, 14]",43.8
371,Ratio and Proportion,"Solve for b in the ratio 1:27, when a = 9.",243.0
372,Percentage,"If 27% of a number is 5237, what is the number?",19396.296296296296
373,Ratio and Proportion,"If a is 5 times b, and the ratio is 86:57, what is the value of a?",285
374,Numbers,Is the product of 79 and 52 a composite number?,Yes
375,Ratio and Proportion,"If the ratio 33:24 is equivalent to the ratio 11:93, find the value of b given a = 47.",8.0
376,Time and Work,"If 7 people can do 0.1 of a job in 12 days, how long will 3 take to do the entire job?",28.0
377,Ratio and Proportion,"In a ratio of 66:38, find the value of b if a = 23.",13.242424242424242
378,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 20 hours, and Pipe B in 26 hours, but Pipe C empties it in 40 hours, and all three are used for 15 hours.",1.33
379,Profit and Loss,A product is sold at a profit percentage of 25 after buying it at 486. What is the selling price?,Profit of 266
380,Time and Work,Calculate the total time if 7 work for 22 days and then 21 complete the rest of the work.,29.33
381,Time and Work,"If 2 can do a job in 14 days, how long will 1 take if they work twice as fast?",28.0
382,Profit and Loss,"If a product is sold at a loss of 49%, what was its cost price if the selling price is 158?",Loss of 211
383,Time and Work,"If 2 can complete a job in 43 days, what fraction of the job can 86 complete in one day?",21.5
384,Percentage,What is 73% of 632?,4613600
385,Pipes and Cisterns,"Given that Pipe A fills a tank in 21 hours and Pipe B in 34 hours, calculate the time taken when both pipes are used together.",12.98
386,Percentage,"If 69% of a number is 9987, what is the number?",14473.91304347826
387,Profit and Loss,What is the profit/loss percentage if the cost price is 554 and the selling price is 357?,Loss of 197
388,Algebra,Find the value of x in the linear equation 7x + -10 = -8.,1.4285714285714286
389,Ratio and Proportion,"If the ratio of a to b is 72:16, and a is increased by 3, what is the new value of b?",16.0
390,Percentage,"If 8% of a value is 6044, what would 9% of the same value be?",147.31200000000004
391,Profit and Loss,"If a product is sold at a loss of 43%, what was its cost price if the selling price is 287?",Loss of 522
392,Time Speed Distance,"At a speed of 52 km/h, how far will a car travel in 4 hours?",208
393,Profit and Loss,A product was bought for 739 and sold for 795. Calculate profit or loss.,Profit of 56
394,Percentage,"If 83% of 671 is added and then 46% is subtracted, what is the result?",663.0822000000001
395,Pipes and Cisterns,"If Pipe A can fill a tank in 36 hours, and Pipe B in 22 hours, but Pipe C empties 0.37 of the tank in 23 hours, find the time to fill the tank.",25.7
396,Percentage,What is the final value when 98% of 883 is added to it?,1748.3400000000001
397,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 28 hours, and Pipe B in 42 hours, but Pipe C empties it in 31 hours, and all three are used for 15 hours.",0.89
398,Pipes and Cisterns,"Pipe A fills a tank in 25 hours, Pipe B in 50 hours, and Pipe C empties it in 37 hours. If all three are used for 11 hours, how much of the tank is filled?",0.66
399,Time Speed Distance,Calculate the time taken to travel 95 km at a speed of 95 km/h.,1.0
400,Percentage,Calculate 34% of 349 and then subtract it from the original value.,26573.529411764706
401,Numbers,Is 4 a prime number if it is greater than 107?,No
402,Time and Work,"For a job done by 5 people in 39 days, how many days would one person need?",195
403,Numbers,Is 99 a prime number?,No
404,Ratio and Proportion,Determine the original values of a and b if their ratio is 2:9 and their sum is 11.,2:9
405,Percentage,Calculate 48% of 606.,2908800
406,Ratio and Proportion,Find the new ratio if a and b are multiplied by 5 and 3 respectively.,10:78
407,Algebra,Calculate x: 1x + 1 = 0.,-10.0
408,Percentage,A price increased by 30% and then decreased by 50%. Find the final price.,490.1
409,Algebra,Find the value of x in the linear equation 7x + 2 = -3.,-0.2857142857142857
410,Pipes and Cisterns,"If Pipe A fills a tank in 24 hours and Pipe B in 46 hours, how long will both pipes take together?",15.77
411,Algebra,Find the solution to the equation 2x² + 6x + 10 = 0.,No real roots
412,Algebra,Solve for x: 4x = -7.,1.75
413,Numbers,Is 15 a composite number?,Yes
414,Profit and Loss,Find the selling price if the cost price is 578 and the profit is 23%.,Profit of -461
415,Numbers,Is 32 a composite number?,Yes
416,Algebra,"If 8x + 9 = 9, find the value of x.",0.0
417,Time and Work,7 people finish a task in 19 days. How long will 1 person take?,133
418,Profit and Loss,Calculate the profit/loss percentage when a product is sold for 838 after buying it for 208.,Loss of 630
419,Numbers,Is 54 a perfect square and also a prime number?,No
420,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 47 and 36 hours, respectively?",20.39
421,Percentage,What is 28% of 799?,2237200
422,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 22 hours, but Pipe B empties it in 26 hours, and both are used simultaneously?",10.74
423,Time Speed Distance,"At a speed of 100 km/h, how far will a car travel in 3 hours?",300
424,Profit and Loss,"Calculate the profit or loss if a product is bought for 200, marked at 1900, and sold for 845.",Profit of 645
425,Average,"If the average of 93, 74, and 10 is 59.0, what is the total sum?",177.0
426,Percentage,"If 68% of 791 is added and then 63% is subtracted, what is the result?",491.6856
427,Ratio and Proportion,"Given the ratio 62:73 and b = 91, find the value of a.",36.5
428,Profit and Loss,"If the cost price is 207 and the loss percentage is 38%, what is the selling price?",Loss of 506
429,Numbers,Determine if 50 is a prime or composite number.,No
430,Pipes and Cisterns,"Pipe A can fill a tank in 42 hours, and Pipe B can fill it in 44 hours. How long will it take both pipes to fill the tank together?",21.49
431,Profit and Loss,"The cost price of a product is 340, and it is sold at 779. Find the profit or loss percentage.",129.12%
432,Pipes and Cisterns,"If Pipe A fills a tank in 39 hours, and Pipe B can fill 0.18 of it in 32 hours, how long will it take both pipes to fill the tank?",33.07
433,Numbers,Is the difference between 80 and 94 an integer?,Yes
434,Time and Work,"If 4 people can do 0.4 of a job in 38 days, how long will 2 take to do the entire job?",76.0
435,Time and Work,"If 6 people can do a job in 35 days, how many days will 3 take?",70.0
436,Time Speed Distance,Calculate the average speed of a car that covers 117 km in 2 hours and 177 km in 4 hours.,49.0
437,Ratio and Proportion,"If the ratio 27:76 is equivalent to the ratio 65:56, find the value of b given a = 10.",182.96296296296296
438,Profit and Loss,"Calculate the profit or loss if a product is bought for 527, marked at 1561, and sold for 575.",Profit of 48
439,Numbers,Determine if 62 is a prime or composite number.,No
440,Pipes and Cisterns,"If Pipe A fills a tank in 46 hours and Pipe B in 19 hours, how long will both pipes take together?",13.45
